label,type,series,title,volume,isbn,doi,booktitle,publisher,author,editor,year,pages,issn,number,journal,file,url,language,shorttitle,urldate,keywords,copyright,pmid,note,pmcid,address,institution,keep_yn,abstract
salehpour_.line_2011,article,NA,An {On}-line {Method} for {Estimation} of {Piecewise} {Constant} {Parameters} in {Linear} {Regression} {Models,44,NA,https://doi.org/10.3182/20110828-6-IT-1002.01692,NA,NA,"Salehpour, Soheil and Gustafsson, Thomas and Johansson, Andreas",NA,2011,3171 -- 3176,1474-6670,1,IFAC Proceedings Volumes,NA,http://www.sciencedirect.com/science/article/pii/S1474667016440991,NA,NA,NA,"ARX model, -norm, LASSO, Parameter estimation, sparsity",NA,NA,NA,NA,NA,NA,m,"abstract we present an on-line method for detecting changes and estimating parameters in ar(x) models. the method is based on the assumption of piecewise constant parameters resulting in a sparse structure of their derivative. to illustrate the algorithm and its performance, we apply it to the change in the model parameters of some arx models. the example illustrates that the new method shows good performance for an ar(x) model with abrupt changes in the parameters."
jokinen_detection_2008,article,NA,Detection of dynamically inconsistent samples in measured signals,41,NA,https://doi.org/10.1016/j.measurement.2006.02.007,NA,NA,"Jokinen, Heikki",NA,2008,144 -- 150,0263-2241,2,Measurement,NA,http://www.sciencedirect.com/science/article/pii/S0263224106000364,NA,NA,NA,"Abrupt changes, Moving variance, Signal processing",NA,NA,NA,NA,NA,NA,n,"measurements may contain dynamically inconsistent samples like transients or abrupt level changes. although the duration of these effects is often short, the computed results derived from the measurements may be heavily corrupted. in order to be able to analyse only the stationary region of the signal, the detection of anomalies is needed. in this paper we introduce a method for detecting abrupt changes applying windowed moving variance computation technique."
el.gebeily_identification_2016.1,article,NA,Identification of wall-thinning and cracks in pipes utilizing vibration modes and wavelets,40,NA,https://doi.org/10.1016/j.apm.2015.12.031,NA,NA,"El-Gebeily, M. and Khulief, Y. A.",NA,2016,5335 -- 5348,0307-904X,9,Applied Mathematical Modelling,NA,http://www.sciencedirect.com/science/article/pii/S0307904X15008434,NA,NA,NA,"Identification, Pipes, Surface damage, Vibrations, Wavelets",NA,NA,NA,NA,NA,NA,n,"abstract internal surface damage such as wall-thinning and cracks in piping systems are mainly caused by chemical reactions, heat, erosion, solid carrying fluids or a combination of such influences. early detection of such surface damage is crucial in order to avoid sudden failure and the subsequent downtime losses and safety hazards. in this paper we develop methods for inner damage identification in pipes utilizing the vibration mode shapes. wall-thinning and cracks are modeled by smooth gradual change and abrupt change in the internal surface of the pipe, respectively. since wavelets are very efficient in detecting fast changes in signals and their derivatives, they are primarily used to detect crack development. while wavelets cannot be used to detect smooth wall-thinning changes, they can, nevertheless, be used to detect the beginning and end of such damage. we develop a new method for identifying the profile of the inner surface of the pipe, once the wavelet transform indicates that damage is taking place. the identification process requires the shape of one vibration mode of the pipe and does not require the elaborate monitoring and tracking of changes in the modal characteristics. no baseline data are needed aside from the nominal values of the pipe parameters. in addition to damage localization, the developed identification method is capable of quantizing damage severity from the identification of a more accurate profile of the inner surface of the pipe. the motivation and methods used in this work are introduced first in a general setting and then demonstrated by several pipe examples. the numerical simulations carried out here indicate the effectiveness of the developed approach."
caetano_method_2012,article,NA,A method for detection of abrupt changes in the financial market combining wavelet decomposition and correlation graphs,391,NA,https://doi.org/10.1016/j.physa.2012.05.048,NA,NA,"Caetano, Marco Antonio Leonel and Yoneyama, Takashi",NA,2012,4877 -- 4882,0378-4371,20,Physica A: Statistical Mechanics and its Applications,NA,http://www.sciencedirect.com/science/article/pii/S0378437112004190,NA,NA,NA,"Graph theory, Modeling, Network, Stock market, Wavelet decomposition",NA,NA,NA,NA,NA,NA,n,"the objective of this work is to propose a new methodology to detect the imminence of abrupt changes in the stock market by combining a numerical indicator based on the wavelet decomposition technique with a measure of the interdependency of the markets using graph theory. while the indicator based on wavelet decomposition is based on a single time series, an approach based on network representation can provide information on the interdependency of the various markets. more specifically, the stock market indices are associated with nodes of a network and the correlation between pairs of nodes with links. results from the theory of graphs can then be used to indicate numerically the connectivity of this network. experimentations with a variety of financial time series shows that the connectivity varies as trends of the financial time series varies. combining the indicator based on the wavelet decomposition with the proposed measure of the connectivity of the network, it was possible to refine the authors previous results in terms of detecting abrupt changes in the stock market. in order to illustrate the methodology a case study involving twelve stock market indices was presented."
zhen_faults_2012,article,NA,The {Faults} {Diagnosis} of {Optical} {Fiber} {Fusion} {Based} on {Wavelet} {Analysis,24,NA,https://doi.org/10.1016/j.phpro.2012.02.311,NA,NA,"Zhen, Zhang and San-jun, Liu",NA,2012,2117 -- 2123,1875-3892,NA,Physics Procedia,NA,http://www.sciencedirect.com/science/article/pii/S1875389212003549,NA,NA,NA,"fault diagnosis, optical fiber fusion, wavelet module maximum theory",NA,NA,NA,NA,NA,NA,n,"according to the deficiency of traditional fourier transform in faults diagnosis during the early period, the paper puts forward a new method to detect the abrupt change signal in the stator current based on wavelet module maximum theory. simulation results show that the designed method can detect and locate the early faults even with trivial characteristic quickly and accurately."
nicholls_biological_2011,article,NA,A biological regime shift in the {Bay} of {Quinte} ecosystem ({Lake} {Ontario}) associated with the establishment of invasive dreissenid mussels,37,NA,https://doi.org/10.1016/j.jglr.2010.12.004,NA,NA,"Nicholls, K. H. and Hoyle, J. A. and Johannsson, O. E. and Dermott, R.",NA,2011,310 -- 317,0380-1330,2,Journal of Great Lakes Research,NA,http://www.sciencedirect.com/science/article/pii/S038013301000256X,NA,NA,NA,"Lake Ontario, Ecosystem, Regime shift, Bay of Quinte",NA,NA,NA,NA,NA,NA,m,"thirty-two biological variables (taxonomic and/or functional groups) representing the four major communities, phytoplankton, zooplankton, benthos and fish, characterizing the upper bay of quinte (lake ontario) ecosystem, were assembled for the 27-year period, 19822008. coincident regime shifts were detected in phytoplankton, benthos, and fish in 1995, which was just after invasive zebra mussels (dreissena spp.) became established in the bay in 19931994. two independent methods were used to detect these shifts: 1) principal components analysis followed by a regime shift detector test for a change point in the running mean of the first principal component scores and (2) measurements of significant difference between pre- and post-dreissena ecosystem structure based on measures of braycurtis community similarity. although a statistically significant shift was not detected in the zooplankton community by itself, zooplankton variables were instrumental in the overall ecosystem shift, determined for the combined four communities. all 32 variables were ranked for their individual contribution to the difference between the pre- and post-dreissena ecosystem structures. the resolution of two distinct ecosystem structures, pre- and post-dreissena, was greatly improved after employing a novel method of variable optimization that involved a selective and sequential removal of variables contributing least to the statistical difference between pre- and post-dreissena ecosystem structures. the resultant 20-variable subset defined a 1995 ecosystem regime shift at very high level of statistical confidence (anosim-r=0.970)."
jo_bayesian_2016,article,NA,Bayesian analysis to detect abrupt changes in extreme hydrological processes,538,NA,https://doi.org/10.1016/j.jhydrol.2016.03.065,NA,NA,"Jo, Seongil and Kim, Gwangsu and Jeon, Jong-June",NA,2016,63 -- 70,0022-1694,NA,Journal of Hydrology,NA,http://www.sciencedirect.com/science/article/pii/S0022169416301792,NA,NA,NA,"Bayesian change-point analysis, Generalized extreme-value distribution, Non-stationarity",NA,NA,NA,NA,NA,NA,m,"summary in this study, we develop a new method for a bayesian change point analysis. the proposed method is easy to implement and can be extended to a wide class of distributions. using a generalized extreme-value distribution, we investigate the annual maximum of precipitations observed at stations in the south korean peninsula, and find significant changes in the considered sites. we evaluate the hydrological risk in predictions using the estimated return levels. in addition, we explain that the misspecification of the probability model can lead to a bias in the number of change points and using a simple example, show that this problem is difficult to avoid by technical data transformation."
pawlowski_identification_2008.2,article,NA,Identification of regime shifts in time series using neighborhood statistics,5,NA,https://doi.org/10.1016/j.ecocom.2007.07.005,NA,NA,"Pawlowski, Christopher W. and Cabezas, Heriberto",NA,2008,30 -- 36,1476-945X,1,Ecological Complexity,NA,http://www.sciencedirect.com/science/article/pii/S1476945X07000918,NA,NA,NA,"Regime shifts, Time series, Thresholds, Nonlinear dynamics, Statistical methods, Detection, Alternative dynamic regimes",NA,NA,NA,NA,NA,NA,m,"sudden and significant changes in biotic and abiotic variables have been observed across a variety of systems. the identification of such regime shifts in time series includes both model-fitting and statistical approaches. we introduce two methods that use state- or measurement-space neighborhood statistics to pick out regime shifts. analysis of simulated and real data sets shows that these methods can be an effective means of identifying regime shifts for single variable as well as multivariable time series. in addition, these methods can be used on systems with non-equilibrium steady states. however, care must be taken in interpreting results as these methods do respond to changes in time series that are not consistent with the regime shift concept."
sensoy_effects_2014,article,NA,"Effects of volatility shocks on the dynamic linkages between exchange rate, interest rate and the stock market: {The} case of {Turkey",43,NA,https://doi.org/10.1016/j.econmod.2014.09.005,NA,NA,"Sensoy, Ahmet and Sobaci, Cihat",NA,2014,448 -- 457,0264-9993,NA,Economic Modelling,NA,http://www.sciencedirect.com/science/article/pii/S0264999314003320,NA,NA,NA,"Stock market, Dynamic conditional correlation, Exchange rate, Interest rate, Penalized contrast function, Volatility shift contagion",NA,NA,NA,NA,NA,NA,n,"this study analyzes the dynamic relationship between exchange rate (against us dollar), interest rate and the stock market (both in local currency) of turkey from january 2003 to september 2013. in particular, the paper tries to answer if the correlations between these important variables change abruptly in high volatile periods and if they do, is this change temporary or permanent? in that manner, we first estimate the dynamic correlations between these variables using the var(p)fiaparch(1,d,1)cdcc(1,1) approach. then, we endogenously detect the volatility shift dates by a novel method of penalized contrast functions and investigate the relation between the dynamic correlations and the high volatile periods. results reveal that volatility shocks create abrupt changes in the dynamic correlations, however this effect is only short term and do not sustain between consecutive high volatility regimes. thus, policymakers and investors do not need to be concerned about long run contagion effects."
yu_exposing_2016,article,NA,Exposing frame deletion by detecting abrupt changes in video streams,205,NA,https://doi.org/10.1016/j.neucom.2016.03.051,NA,NA,"Yu, Liyang and Wang, Huanran and Han, Qi and Niu, Xiamu and Yiu, S. M. and Fang, Junbin and Wang, Zhifang",NA,2016,84 -- 91,0925-2312,NA,Neurocomputing,NA,http://www.sciencedirect.com/science/article/pii/S092523121630265X,NA,NA,NA,"Anomaly detection, Frame deletion detection, Video forensics, Video stream analysis",NA,NA,NA,NA,NA,NA,n,"many existing methods for frame deletion detection attempt to detect abnormal periodical artifacts in video stream, however, due to a number of reasons, the periodical artifacts can not always be reliably detected. in this paper, we propose a new method for frame deletion detection. rather than detecting abnormal periodical artifacts, we devise two features to measure the magnitude of variation in prediction residual and the number of intra macro blocks. based on the devised features, we propose a fused index to capture abnormal abrupt changes in video streams. we create a dataset which consists of 6 subsets, and test the detection capability of our method in both video level and gop (group of pictures) level. the experimental results show that the proposed method performs stably under various configurations."
gonzalez_method_1998,article,NA,A method for estimating the flocculation time of monodispersed sediment suspensions,45,NA,https://doi.org/10.1016/S0967-0637(98)00045-4,NA,NA,"Gonzalez, E. A. and Hill, P. S.",NA,1998,1931 -- 1954,0967-0637,11,Deep Sea Research Part I: Oceanographic Research Papers,NA,http://www.sciencedirect.com/science/article/pii/S0967063798000454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,"a new method is presented for determining the flocculation time of monodispersed sediment suspensions. flocculation time is the critical time at which abrupt changes in the particle size spectrum of an aggregative suspension occurs. this method predicts flocculation times to within 6\% of values predicted by a geometric sectional aggregation model (batterham, r.j., hall, j.s. and barton, g., 1981. in: proceedings, 3rd international symposium on agglomeration, nrnberg, federal republic of germany, pp. a136a150) but uses only a fraction of the computational effort. flocculation times estimated in this way are superior to estimates of flocculation time scale made using half-life because particle geometry and differential settling encounter are taken into account. the proposed model is based on typical size distributions calculated using the batterham et al. model. these size distributions have approximately equal mass in geometrically increasing size classes, i.e. they are junge-dispersed. by assuming that the suspension remains junge-dispersed throughout its evolution, the system of differential equations required to describe the suspension reduces to a single differential equation. flocculation times are calculated for three values of maximum floc size (dmax=10,1,0.1mm), a maximum settling velocity of ws=1mms-1, and a variety of initial conditions. for a given set of inputs, flocculation times calculated in this way are linearly related to those calculated using the batterham et al. model, but the slope of the relationship varies with fractal dimension. multiple linear regression equations are developed to directly relate the two. the effect of including sinking losses into the batterham et al. model is also investigated. if the sinking loss time scale is much longer than the flocculation time, then the suspension becomes flocculated at roughly the same time it would have had there been no sinking losses, and the new method can be used. conversely, if the sinking time scale is less than or equal to the flocculation time, then the new method cannot be used."
pukkala_predicting_2003,article,NA,Predicting timber harvests from private forestsa utility maximisation approach,5,NA,https://doi.org/10.1016/S1389-9341(02)00062-X,NA,NA,"Pukkala, Timo and Ketonen, Taina and Pyklinen, Jouni",NA,2003,285 -- 296,1389-9341,3,Forest Policy and Economics,NA,http://www.sciencedirect.com/science/article/pii/S138993410200062X,NA,NA,NA,"Forest planning, Heuristic optimisation, Multi-objective optimisation, Multiple-use forestry, Timber sales, Timber supply, Utility function",NA,NA,NA,NA,NA,NA,n,"forest owners values and the ownership structure of forest are changing continuously. one probable consequence of the current trends in finland is that the significance of forest-related income will decrease, which may have a significant impact on the round wood supply. this study developed and demonstrated a new method, which allows policy makers to make forecasts on the future timber supply. the method is based on the assumed temporal changes in the distributions of the importance of different forest management goals. the distributions are converted into utility functions, generated separately for each forest holding. the utility functions are maximised, using heuristics, to obtain the optimal forest management plans for the holdings. the regional cutting budget is calculated by summing the removals of the optimal treatment schedules of stands over the whole area. the method was demonstrated by assuming four different scenarios for the forest management goals, in which the importance of net income from realised cuttings decreased by 0\%, 25\%, 50\% or 100\% in 60 years. the decrease was compensated for by an increased importance of the other goals, namely economic security, recreation, and nature values. the calculations were made with three different methods. methods 1 and 2 derived the optimal plans directly for the whole 60-year period while method 3 developed three consecutive 20-year plans. method 2 assumed that the holding is sold or inherited once in 20 years with an abrupt change in the management goals. in methods 1 and 3 the goals changed only gradually. the results were logical, indicating that the more the importance of net income decreases the lower the future timber supply will be."
kim_computer_2010,article,NA,A {Computer} {Model} of {Engineered} {Cardiac} {Monolayers,98,NA,https://doi.org/10.1016/j.bpj.2010.01.008,NA,NA,"Kim, Jong M. and Bursac, Nenad and Henriquez, Craig S.",NA,2010,1762 -- 1771,0006-3495,9,Biophysical Journal,NA,http://www.sciencedirect.com/science/article/pii/S0006349510001359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,"engineered monolayers created using microabrasion and micropatterning methods have provided a simplified in vitro system to study the effects of anisotropy and fiber direction on electrical propagation. interpreting the behavior in these culture systems has often been performed using classical computer models with continuous properties. however, such models do not account for the effects of random cell shapes, cell orientations, and cleft spaces inherent in these monolayers on the resulting wavefront conduction. this work presents a novel methodology for modeling a monolayer of cardiac tissue in which the factors governing cell shape, cell-to-cell coupling, and degree of cleft space are not constant but rather are treated as spatially random with assigned distributions. this modeling approach makes it possible to simulate wavefront propagation in a manner analogous to performing experiments on engineered monolayer tissues. simulated results are compared to previously published measured data from monolayers used to investigate the role of cellular architecture on conduction velocities and anisotropy ratios. we also present an estimate for obtaining the electrical properties from these networks and demonstrate how variations in the discrete cellular architecture affect the macroscopic conductivities. the simulations support the common assumption that under normal ranges of coupling strength, tissues with relatively uniform distributions of cell shapes and connectivity can be represented using continuous models with conductivities derived from random discrete cellular architecture using either global or local estimates. the results also reveal that in the presence of abrupt changes in cell orientation, local estimates of tissue properties predict smoother changes in conductivity that may not adequately predict the discrete nature of propagation at the transition sites."
ramos.jiliberto_network.based_2011,article,NA,"A network-based approach to the analysis of ontogenetic diet shifts: {An} example with an endangered, small-sized fish",8,NA,https://doi.org/10.1016/j.ecocom.2010.11.005,NA,NA,"Ramos-Jiliberto, Rodrigo and Valdovinos, Fernanda S. and Arias, Jonathan and Alcaraz, Carles and Garca-Berthou, Emili",NA,2011,123 -- 129,1476-945X,1,Ecological Complexity,NA,http://www.sciencedirect.com/science/article/pii/S1476945X10000899,NA,NA,NA,"Ecological networks, Nestedness, Bipartite graphs, Diet breadth, Electivity, Modularity",NA,NA,NA,NA,NA,NA,n,"many organisms exhibit ontogenetic shifts in their diet and habitat use, which often exert a large influence on the structure and expected dynamics of food webs and ecological communities. nevertheless, reliable methods for detecting these niche shifts from consumption data are limited. in this study we present a new approach for the detection and analysis of ontogenetic diet shifts, based on complex network theory. as a case study, we apply these methods to the endangered, small fish aphanius iberus. the stage-structured consumer population and its set of consumed prey are represented as an unweighted bipartite network. a statistical evaluation of the resulting network structure permits to uncover empirical patterns of ontogenetic diet shifts. we test for changes in niche breadth, as well as nestedness and diet modularity along ontogeny. these tests were carried out on the subnetworks describing consumption, positive electivity, and negative electivity on prey items. the statistical significance was established by means of null model analyses. our analyses reveal a nested diet, along with a gradual decrease in diet breadth and a modular structure (i.e. abrupt changes) of elected preys along the ontogeny of a. iberus. the detection of network structure by means of the use of tools from complex network theory is shown to be a promising method for studying ontogenetic niche shifts."
meyers_detection_2004,article,NA,"Detection, quantification, and significance of hiatuses in pelagic and hemipelagic strata",224,NA,https://doi.org/10.1016/j.epsl.2004.05.003,NA,NA,"Meyers, Stephen R. and Sageman, Bradley B.",NA,2004,55 -- 72,0012-821X,1,Earth and Planetary Science Letters,NA,http://www.sciencedirect.com/science/article/pii/S0012821X0400305X,NA,NA,NA,"C/T, EHA, hiatus, Milankovitch, OAE II",NA,NA,NA,NA,NA,NA,n,"temporal gaps in the stratigraphic record have important implications for the interpretation of stratigraphically rapid geochemical and paleobiologic changes, for the development of high-resolution time scales (e.g., orbital time scales), and for deciphering the response of depositional systems to climatic change and basin evolution (e.g., accommodation space vs. sediment supply). in ancient pelagic and hemipelagic strata, the identification of relatively short hiatus (103106 years) is commonly challenged by the resolution limits of geochronologic techniques. in this study, a quantitative method is developed to identify and quantify hiatuses in strata where milankovitch orbital cycles are documented. the new method is based on the interpretation of evolutive harmonic analysis (eha) results and permits estimation of minimum durations for the temporal gaps. application of this technique to an optical densitometry data series derived from the cenomanian/turonian (c/t) bridge creek limestone member permits quantification of hiatus within the unit and addresses important questions about abrupt changes in biogeochemical proxy records across the boundary interval. integration of the new method with stratigraphic data and geochemical burial flux estimates permits a detailed reconstruction of the controls on sediment delivery and hiatus generation, including a refined analysis of the orbital-scale linkages between climate and sedimentation."
manuja_unknown_2009,article,NA,Unknown input modeling and robust fault diagnosis using black box observers,19,NA,https://doi.org/10.1016/j.jprocont.2008.02.004,NA,NA,"Manuja, Seema and Narasimhan, Shankar and Patwardhan, Sachin C.",NA,2009,25 -- 37,0959-1524,1,Journal of Process Control,NA,http://www.sciencedirect.com/science/article/pii/S0959152408000243,NA,NA,NA,"Fault tolerant control, GLR method, Robust fault diagnosis, Unknown input observer",NA,NA,NA,NA,NA,NA,n,"a key issue that needs to be addressed while performing fault diagnosis using black box models is that of robustness against abrupt changes in unknown inputs. a fundamental difficulty with the robust fdi design approaches available in the literature is that they require some a priori knowledge of the model for unmeasured disturbances or modeling uncertainty. in this work, we propose a novel approach for modeling abrupt changes in unmeasured disturbances when innovation form of state space model (i.e. black box observer) is used for fault diagnosis. a disturbance coupling matrix is developed using singular value decomposition of the extended observability matrix and further used to formulate a robust fault diagnosis scheme based on generalized likelihood ratio test. the proposed modeling approach does not require any a priori knowledge of how these faults affect the system dynamics. to isolate sensor and actuator biases from step jumps in unmeasured disturbances, a statistically rigorous method is developed for distinguishing between faults modeled using different number of parameters. simulation studies on a heavy oil fractionator example show that the proposed fdi methodology based on identified models can be used to effectively distinguish between sensor biases, actuator biases and other soft faults caused by changes in unmeasured disturbance variables. the fault tolerant control scheme, which makes use of the proposed robust fdi methodology, gives significantly better control performance than conventional controllers when soft faults occur. the experimental evaluation of the proposed fdi methodology on a laboratory scale stirred tank temperature control set-up corroborates these conclusions."
urakawa_cortical_2010,article,NA,Cortical dynamics of visual change detection based on sensory memory,52,NA,https://doi.org/10.1016/j.neuroimage.2010.03.071,NA,NA,"Urakawa, Tomokazu and Inui, Koji and Yamashiro, Koya and Tanaka, Emi and Kakigi, Ryusuke",NA,2010,302 -- 308,1053-8119,1,NeuroImage,NA,http://www.sciencedirect.com/science/article/pii/S1053811910003587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,"detecting a visual change was suggested to relate closely to the visual sensory memory formed by visual stimuli before the occurrence of the change, because change detection involves identifying a difference between ongoing and preceding sensory conditions. previous neuroimaging studies showed that an abrupt visual change activates the middle occipital gyrus (mog). however, it still remains to be elucidated whether the mog is related to visual change detection based on sensory memory. here we tried to settle this issue using a new method of stimulation with blue and red leds to emphasize a memory-based change detection process. there were two stimuli, a standard trial stimulus and a deviant trial stimulus. the former was a red light lasting 500ms, and the latter was a red light lasting 250ms immediately followed by a blue light lasting 250ms. effects of the trialtrial interval, 2502000ms, were investigated to know how cortical responses to the abrupt change (from red to blue) were affected by preceding conditions. the brain response to the deviant trial stimulus was recorded by magnetoencephalography. results of a multi-dipole analysis showed that the activity in the mog, peaking at around 150ms after the change onset, decreased in amplitude as the interval increased, but the earlier activity in ba 17/18 was not affected by the interval. these results suggested that the mog is an important cortical area relating to the sensory memory-based visual change-detecting system."
mariani_apparent_2008,article,NA,Apparent thermal diffusivity estimation of the banana during drying using inverse method,85,NA,https://doi.org/10.1016/j.jfoodeng.2007.08.018,NA,NA,"Mariani, Viviana Cocco and Lima, Antonio Gilson Barbosa de and Coelho, Leandro dos Santos",NA,2008,569 -- 579,0260-8774,4,Journal of Food Engineering,NA,http://www.sciencedirect.com/science/article/pii/S0260877407004591,NA,NA,NA,"Banana, Differential Evolution, Food, Inverse problem, Thermal diffusivity",NA,NA,NA,NA,NA,NA,n,"a new approach for the estimation of apparent thermal diffusivity of foods at different drying temperatures was explored, analysed and discussed in this work. temperature versus time was obtained numerically at the center of the food (banana, nanico variety) using the 1d fourier equation with drying temperatures in the range between approximately 1765c and moisture content in the range between 0.01 and 3.43 (dry basis). the solution of the partial differential equation is made with a finite difference method coupled to an optimization technique of differential evolution used in inverse method. the mathematical model proposed considered the effects of shrinkage and convective heat transfer at surface of fruit. parameters of two functions, the first dependent of the moisture content and the second dependent also of the temperature were obtained by inverse method modelling the apparent thermal diffusivity. such parameters that provide the best least square fit between the experimental and predicted time-temperatures curves are presented in this work. this study demonstrated that a small change in the temperature and moisture content of banana cause an abrupt change in the apparent thermal diffusivity, which decrease with the decreasing of the moisture. statistical analysis shows the excellent agreement between reported and estimated curves."
xia_automatic_2009,article,NA,Automatic demarcation of sequence stratigraphy using the method of well logging multiscale data fusion,36,NA,https://doi.org/10.1016/S1876-3804(09)60122-1,NA,NA,"Xia, Li and Yiren, Fan and Shaogui, Deng and Tongshan, Wang",NA,2009,221 -- 227,1876-3804,2,Petroleum Exploration and Development,NA,http://www.sciencedirect.com/science/article/pii/S1876380409601221,NA,NA,NA,"data fusion, logging curve, multiscale, sequence stratigraphy, wavelet transform",NA,NA,NA,NA,NA,NA,n,"strata division with well logging utilizes the abrupt changing points or regions of signals, while the changing law of the wavelet modulus maxima under different scales can exactly describe the position and modality of the changing points. based on the idea of reconstruction of wavelet modulus maxima, the well logging data fusion method built on the multiscale edge detection principle is put forward and is applied to the quantitative demarcation of sequence stratigraphy. for case study, single logging curve and multiscale fusion curve in well a in shengtuo oilfield are processed by quadric spline wavelet and thereby sequence boundaries on different scales can be detected. the result shows: by demarcating sequence stratigraphic units with the multiscale fusion curve analysis, better effect could be obtained. the energy accumulation and distribution on the wavelet time-frequency graph could clearly reflect the boundaries and cycle types of parasequences and parasequence sets. all these researches provide a completely new method for the quantitative demarcation of sequence and its inner depositional features."
kubatkin_movement_1994,article,NA,Movement of scattering centers in a point contact induced by a scanning tunneling microscope,194-196,NA,https://doi.org/10.1016/0921-4526(94)90825-7,NA,NA,"Kubatkin, S. E. and Olin, H. and Davidsson, P. and Danilov, A. V. and Claeson, T.",NA,1994,991 -- 992,0921-4526,NA,Physica B: Condensed Matter,NA,http://www.sciencedirect.com/science/article/pii/0921452694908257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,a new method is introduced to study transport in a mesoscopic sample. the electric field from an stm-tip is used to locally influence a mesoscopic object. we detect abrupt changes in the mesoscopic signal both as a function of the tip position and tip-sample voltage. they could be interpreted as due to spatial shifts or changes in the activity of scattering centers in the sample.
engram_analyzing_2018,article,NA,Analyzing floating and bedfast lake ice regimes across {Arctic} {Alaska} using 25 years of space-borne {SAR} imagery,209,NA,https://doi.org/10.1016/j.rse.2018.02.022,NA,NA,"Engram, Melanie and Arp, Christopher D. and Jones, Benjamin M. and Ajadi, Olaniyi A. and Meyer, Franz J.",NA,2018,660 -- 676,0034-4257,NA,Remote Sensing of Environment,NA,http://www.sciencedirect.com/science/article/pii/S0034425718300294,NA,NA,NA,"Arctic lakes, Ice regime, Lake ice, Overwinter fish habitat, Permafrost thaw, Synthetic aperture radar, Thermokarst lakes, Winter water supply",NA,NA,NA,NA,NA,NA,n,"late-winter lake ice regimes are controlled by water depth relative to maximum ice thickness (mit). when mit exceeds maximum water depth, lakes freeze to the bottom with bedfast ice (bi) and when mit is less than maximum water depth lakes have floating ice (fi). both airborne radar and space-borne synthetic aperture radar (sar) imagery (ku-, x-, c-, and l-band) have been used previously to determine whether lakes have a bi or fi regime in a given year, across a number of years, or across large regions. in this study, we use a combination of ers-1/2, radarsat-2, envisat, and sentinel-1 sar imagery for seven lake-rich regions in arctic alaska to analyze lake ice regime extents and dynamics over a 25-year period (19922016). our interactive threshold classification method determines a unique statistic-based intensity threshold for each sar scene, allowing for the comparison of classification results from c-band sar data acquired with different polarizations and incidence angles. additionally, our novel method accommodates declining signal strength in aging extended-mission satellite sar instruments. comparison of sar ice regime classifications with extensive field measurements from six years yielded a 93\% accuracy. significant declines in bi regimes were only observed in the fish creek area with 3\% of lakes exhibiting transitional ice regimeslakes that switch from bi to fi during this 25-year period. this analysis suggests that the potential conversion from bi to fi regimes is primarily a function of lake depth distributions in addition to regional differences in climate variability. remote sensing of lake ice regimes with c-band sar is a useful tool to monitor the associated thermal impacts on permafrost, since lake ice regimes can be used as a proxy for of sub-lake permafrost thaw, considered by the global climate observing system as an essential climate variable (ecv). continued winter warming and variable snow conditions in the arctic are expected and our long-term analysis provides a valuable baseline for predicting where potential future lake ice regimes shifts will be most pronounced."
kim_modeling_2013,article,NA,Modeling financial crisis period: {A} volatility perspective of {Credit} {Default} {Swap} market,392,NA,https://doi.org/10.1016/j.physa.2013.06.016,NA,NA,"Kim, Kyungwon",NA,2013,4977 -- 4988,0378-4371,20,Physica A: Statistical Mechanics and its Applications,NA,http://www.sciencedirect.com/science/article/pii/S0378437113005141,NA,NA,NA,"Crisis period modeling, ICSS algorithm, Structure regime change, Volatility",NA,NA,NA,NA,NA,NA,,"the volatility of financial markets is often assumed constant, but phenomena such as volatility clustering and jumps in volatility suggest that this assumption is rarely true. numerous studies have been conducted to investigate the jump or breakpoint of the volatility phenomenon, and their findings have been applied in modeling volatility. however, few studies address the issue from a practical point of view. specifically, a financial crisis accompanied by markedly increased volatility can be approached from this perspective to suggest the persistence or termination of a crisis. this paper develops the icss-crisis algorithm, a new approach to identify a crisis period along with the conditions for the icss algorithm which represents the structural breakpoints of volatility. this algorithm recommends a guideline to determine whether an existing crisis in the market resulted from financial volatility, was terminated, or is continuing. the method is tested along with the icss algorithm to prove the effectiveness of credit default swap index data."
gombay_monitoring_2009,article,NA,Monitoring parameter change in {AR}(p) time series models,100,NA,https://doi.org/10.1016/j.jmva.2008.08.005,NA,NA,"Gombay, Edit and Serban, Daniel",NA,2009,715 -- 725,0047-259X,4,Journal of Multivariate Analysis,NA,http://www.sciencedirect.com/science/article/pii/S0047259X08001826,NA,NA,NA,"Time series, Change point, Efficient score vector, Pages CUSUM test, primary, secondary, Sequential test, Strong approximations",NA,NA,NA,NA,NA,NA,n,"sequential tests that are generalizations of pages cusum tests are proposed for detecting an abrupt change in any parameter, or in any collection of parameters of an autoregressive time series model. these tests accommodate nuisance parameters. they are based on large sample approximations to the efficient score vector under the null hypothesis of no change and under the alternative. the empirical power of the tests is evaluated in a simulation study. the new method performs better than the existing ones found in the literature if the criterion is the type i error probability, which can be unacceptably high for methods that minimize the expected value of the reaction time."
